"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","So many Americans right now are stepping up to help their communities. Zohaib Begg, a 7-year-old from VA, is one of… https://t.co/kgEAjd7yGX",FALSE,172018,NA,2020-03-30 17:03:55,TRUE,NA,"1244671710198104064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",27595,FALSE,FALSE,NA,NA
"20","We are grateful for what he did for this country. He carried the baton longer and surer than almost anybody. It fal… https://t.co/a2LHsvMF3T",FALSE,27288,"BarackObama",2020-03-28 19:56:14,TRUE,"1243990300009402368","1243990301175353345","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",2641,FALSE,FALSE,NA,NA
"21","What a joy it was to watch him pray and preach. I took heart in him saying, “We ain’t going back. We’ve come too fa… https://t.co/wZCEg2dhmz",FALSE,35446,"BarackObama",2020-03-28 19:56:14,TRUE,"1243990296385466368","1243990300009402368","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",3699,FALSE,FALSE,NA,NA
"22","Rev. Joseph Lowery was a giant who let so many of us stand on his shoulders. With boundless generosity, patience, a… https://t.co/LzAKoBofog",FALSE,135510,NA,2020-03-28 19:56:13,TRUE,NA,"1243990296385466368",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",14631,FALSE,FALSE,NA,NA
"23","During this crisis, our grocery store clerks, delivery drivers, transit and utility workers—along with so many othe… https://t.co/FgNwvpshoo",FALSE,296186,NA,2020-03-27 17:43:32,TRUE,NA,"1243594515677622274",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",51468,FALSE,FALSE,NA,NA
"24","And this article provides a great example of the kind of community spirit that we need to get through this—a spirit… https://t.co/177VvHKpiW",FALSE,44944,"BarackObama",2020-03-26 00:00:34,TRUE,"1242964620870070272","1242964623504158720","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",10064,FALSE,FALSE,NA,NA
"25","Here’s a useful overview of the likely scenarios that the world will be facing in the coming months while managing… https://t.co/c2F0mhA9r5",FALSE,221605,NA,2020-03-26 00:00:33,TRUE,NA,"1242964620870070272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",66579,FALSE,FALSE,NA,NA
"26","These are the burdens our medical heroes already face in NYC. It's only going to get harder across the country. Ano… https://t.co/trAELIbkTY",FALSE,151500,NA,2020-03-25 14:11:51,TRUE,NA,"1242816471572545536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",35413,FALSE,FALSE,NA,NA
"27","Our medical professionals are heroes putting their lives on the line to keep our country going. Here's a look at ho… https://t.co/Cl7FGTSg32",FALSE,228704,NA,2020-03-24 16:50:08,TRUE,NA,"1242493913337913345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",44692,FALSE,FALSE,NA,NA
"28","Here’s a useful summary of the current best thinking among public health experts on how we need to approach the fig… https://t.co/TIjyEkJOGd",FALSE,133205,NA,2020-03-23 15:43:41,TRUE,NA,"1242114805588267008",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",38931,FALSE,FALSE,NA,NA
